#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3355836	3358985	+	MEXF	1-3150/3180	========/======	4/8	98.93	84.81	megares	MEG_3911	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:MEXF	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	4088983	4089650	+	CPXAR	1-668/678	========/======	9/12	97.64	80.27	megares	MEG_2117	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:CPXAR	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	4616917	4619987	+	TTGB	1-3071/3153	========/======	18/38	96.80	80.32	megares	MEG_7289	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:TTGB	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	4620048	4621445	+	EMHC	1-1398/1461	========/======	3/8	95.41	80.67	megares	MEG_2718	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:EMHC	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3355836	3358948	+	MexF	1-3119/3189	========/======	8/16	97.46	83.90	card	AE004091.2:2810008-2813197	MexF is the multidrug inner membrane transporter of the MexEF-OprN complex. mexF corresponds to 2 loci in Pseudomonas aeruginosa PAO1 (gene name: mexF/mexB) and 4 loci in Pseudomonas aeruginosa LESB58 (gene name: mexD/mexB).	diaminopyrimidine;fluoroquinolone;phenicol
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	4088983	4089650	+	Pseudomonas_aeruginosa_CpxR	1-668/678	========/======	9/12	97.64	80.27	card	LT673656.1:1885022-1884344	CpxR is directly involved in activation of expression of RND efflux pump MexAB-OprM in P. aeruginosa. CpxR is required to enhance mexAB-oprM expression and drug resistance in the absence of repressor MexR.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	352646	353692	+	pilM	19-1065/1065	========/======	4/4	98.12	80.27	vfdb	NP_253731	(pilM) type IV pilus inner membrane platform protein PilM [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	354282	354887	+	pilO	19-624/624	========/======	6/10	96.31	80.85	vfdb	NP_253729	(pilO) type IV pilus inner membrane platform protein PilO [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	436300	437334	+	pilT	1-1035/1035	========/======	2/2	99.90	83.59	vfdb	NP_249086	(pilT) twitching motility protein PilT [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	445311	445694	+	pilG	1-384/408	===============	0/0	94.12	82.81	vfdb	NP_249099	(pilG) twitching motility protein PilG [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
