#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	352646	353692	+	pilM	19-1065/1065	========/======	4/4	98.12	80.27	vfdb	NP_253731	(pilM) type IV pilus inner membrane platform protein PilM [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	354282	354887	+	pilO	19-624/624	========/======	6/10	96.31	80.85	vfdb	NP_253729	(pilO) type IV pilus inner membrane platform protein PilO [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	436300	437334	+	pilT	1-1035/1035	========/======	2/2	99.90	83.59	vfdb	NP_249086	(pilT) twitching motility protein PilT [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	445311	445694	+	pilG	1-384/408	===============	0/0	94.12	82.81	vfdb	NP_249099	(pilG) twitching motility protein PilG [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	445768	446133	+	pilH	1-366/366	===============	0/0	100.00	84.43	vfdb	NP_249100	(pilH) twitching motility protein PilH [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	502343	503302	+	waaF	1-960/1038	==============.	0/0	92.49	80.21	vfdb	NP_253699	(waaF) heptosyltransferase I [LPS (VF0085)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	1138012	1139415	-	algA	1-1404/1446	===============	0/0	97.10	81.41	vfdb	NP_252241	(algA) phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	1141675	1142958	-	algI	1-1284/1563	=============..	0/0	82.15	83.02	vfdb	NP_252238	(algI) alginate o-acetyltransferase AlgI [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	1151494	1152879	-	alg8	100-1485/1485	.==============	0/0	93.33	80.23	vfdb	NP_252231	(alg8) alginate-c5-mannuronan-epimerase AlgG [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	2048190	2048661	-	pvdS	43-514/564	.=======/=====.	2/4	83.33	82.91	vfdb	NP_251116	(pvdS) extracytoplasmic-function sigma-70 factor  [Pyoverdine (VF0094)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	2063055	2064415	+	pvdH	7-1367/1410	========/======	2/2	96.45	80.47	vfdb	NP_251103	(pvdH) diaminobutyrate-2-oxoglutarate aminotransferase PvdH [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	2064543	2064745	+	mbtH-like	1-203/219	==============.	0/0	92.69	83.74	vfdb	NP_251102	(mbtH-like) MbtH-like protein from the pyoverdine cluster [pyoverdine (IA001)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3907227	3908035	-	fleN	10-818/843	===============	0/0	95.97	83.56	vfdb	NP_250145	(fleN) flagellar synthesis regulator FleN [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3914185	3914873	-	fliP	70-758/768	.=======/======	2/2	89.58	82.61	vfdb	NP_250137	(fliP) flagellar biosynthetic protein FliP [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3915916	3916856	-	fliM	1-941/972	========/======	2/2	96.71	82.70	vfdb	NP_250134	(fliM) flagellar motor switch protein FliM [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3926409	3927402	-	fliG	22-1015/1017	===============	0/0	97.74	83.60	vfdb	NP_249793	(fliG) flagellar motor switch protein G [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3951049	3952099	-	flgI	60-1110/1110	===============	0/0	94.68	82.49	vfdb	NP_249775	(flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	3952994	3953749	-	flgG	10-762/786	========/======	1/3	95.80	81.75	vfdb	NP_249773	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1]	
/mnt/local/vse2020/home/filip_chiro/assembly/assembly.fasta	1	4547850	4548431	-	algU	1-582/582	===============	0/0	100.00	81.10	vfdb	NP_249453	(algU) alginate biosynthesis protein AlgZ/FimS [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1]	
